Warren Entsch,[0.3559265  0.04618805]
Trevor Evans,[-0.01885247 -0.79897849]
Bill Shorten,[0.29082901 0.4508785 ]
Tanya Plibersek,[0.73109407 0.78907438]
Mark Dreyfus,[ 0.76146508 -0.72497182]
Trent Zimmerman,[ 0.46510631 -0.00728817]
Terri Butler,[0.41223031 0.0169879 ]
Malcolm Turnbull,[-0.03608918  0.06045605]
Scott Morrison,[ 0.10491128 -0.59172825]
Tony Abbott,[ 0.05626791 -0.41873981]
Anthony Albanese,[0.68140982 0.6573314 ]
Jason Wood,[-0.37081552 -0.53612705]
Susan Lamb,[0.4711099  0.40980471]
Julian Leeser,[-0.3661325  -0.33583899]
Julian Hill,[0.59293922 0.53467322]
Peter Dutton,[-0.32274679 -0.20043812]
Jim Chalmers,[0.66206557 0.86224525]
Andrew Wallace,[-0.37399391 -0.09481616]
Cathy O'Toole,[0.57724265 0.91126937]
Andrew Broad,[ 0.00610497 -0.54877322]
Linda Burney,[0.60040494 0.7732557 ]
Sussan Ley,[0.41725005 0.55986524]
Richard Marles,[0.46289299 0.84120441]
John McVeigh,[-0.44921838 -0.01425523]
Adam Bandt,[ 0.56554365 -0.0402632 ]
Tony Burke,[0.49279527 0.95566331]
Ian Goodenough,[-0.52983813  0.04799222]
Dan Tehan,[-0.61343695  0.08500548]
Tim Hammond,[0.3203992  0.89012577]
Ted O'Brien,[ 0.09621815 -0.50363999]
Lisa Chesters,[0.49576672 0.68553548]
Rowan Ramsey,[-0.12441728 -0.37677966]
Andrew Wilkie,[0.26113206 0.62291138]
Christopher Pyne,[ 0.81524287 -0.58283747]
Peter Khalil,[-0.70492897  0.08268571]
Ken O'Dowd,[-0.78030749  0.03911823]
Clare O'Neil,[0.40249004 0.98147077]
Paul Fletcher,[-0.88762354 -0.10393869]
Jenny Macklin,[0.30362633 1.        ]
George Christensen,[-0.03220392 -0.43314683]
Stephen Jones,[ 0.51488262 -0.02946683]
Andrew Hastie,[-0.09558939 -0.62040384]
Jason Clare,[0.20946947 0.99230838]
Christian Porter,[-0.91631803 -0.18802591]
Tim Watts,[0.13900394 0.72221129]
Ann Sudmalis,[0.33197907 0.75257893]
Emma McBride,[0.18575375 0.86330867]
Scott Buchholz,[-0.84511592 -0.02150065]
Meryl Swanson,[0.12061204 0.97551246]
Luke Hartsuyker,[-0.66423347 -0.01921577]
Catherine King,[0.03605619 0.94828374]
Lucy Wicks,[-0.06479724 -0.73389282]
Sharon Claydon,[-0.04520008  0.90071073]
Kelly O'Dwyer,[-0.76662748 -0.09361177]
Sharon Bird,[0.04766028 0.83142904]
Julie Bishop,[-0.65856874 -0.19204533]
Madeleine King,[-0.04678146  0.73660662]
Greg Hunt,[-0.92944515 -0.27838285]
Julie Collins,[-0.16030422  0.67503575]
Melissa Price,[-0.80350734 -0.22110598]
Keith Pitt,[-0.55250552 -0.08532415]
Andrew Giles,[0.01409779 0.62657543]
Craig Kelly,[ 0.74816185 -0.63479919]
Shayne Neumann,[-0.82965223 -0.34968928]
Chris Crewther,[ 0.08994134 -0.6781768 ]
Mike Kelly,[-0.12463698  0.59652891]
Tony Pasin,[-0.93077023 -0.37769249]
Matt Keogh,[-0.07233043  0.09014857]
Jason Falinski,[-0.69057976 -0.36045932]
Ross Hart,[-0.87572208 -0.55879353]
Nicolle Flint,[ 0.04348979 -0.75564448]
Susan Templeman,[-0.1079761   0.83903125]
Stuart Robert,[-0.90706573 -0.46993453]
Justine Elliot,[-0.15550806  0.76242287]
Mark Coulton,[-0.78273006 -0.4831283 ]
Emma Husar,[-0.0588243   0.52367988]
Josh Frydenberg,[-0.62800715 -0.69558387]
Matt Thistlethwaite,[0.03081441 0.45823476]
Angus Taylor,[-0.61506811 -0.50594846]
Cathy McGowan,[0.13922173 0.39442453]
David Gillespie,[-0.45915145 -0.19613431]
Andrew Leigh,[0.13471646 0.53762204]
Michael Sukkar,[-0.02365605 -0.33289588]
Pat Conroy,[0.36596876 0.29705228]
Michael McCormack,[-0.8320467  -0.64121415]
Gai Brodtmann,[0.24436718 0.32519181]
Andrew Gee,[-0.77189234 -0.71736837]
Ed Husic,[-0.55135068 -0.30902314]
Alex Hawke,[-0.10489916 -0.28468022]
Anne Aly,[0.74731588 0.26692906]
Ben Morton,[-0.7049357  -0.78318439]
Justine Keay,[0.63265373 0.37786098]
Alan Tudge,[-0.72248    -0.60381269]
Kate Ellis,[0.50299847 0.26780053]
Luke Howarth,[-0.54580187 -0.87827011]
Rob Mitchell,[0.62006423 0.22080819]
Julia Banks,[-0.51087733 -0.7668828 ]
Michelle Rowland,[-0.46996321 -0.43957828]
Kevin Andrews,[ 0.64458745 -0.84460141]
Amanda Rishworth,[0.7003934  0.13968995]
Rick Wilson,[-0.45745769 -0.90609342]
Mike Freelander,[0.78352006 0.12911791]
Sarah Henderson,[-0.11609193 -0.50644478]
Mark Butler,[0.83979267 0.1960668 ]
Kevin Hogan,[-0.49884462 -0.62065506]
David Feeney,[0.87144227 0.27914999]
Ken Wyatt,[-0.62731296 -0.83409738]
Josh Wilson,[0.88864192 0.36621461]
Damian Drum,[-0.27448176 -0.9172388 ]
Milton Dick,[0.77514411 0.39904275]
Julie Owens,[ 0.57276856 -0.90230198]
Andrew Laming,[ 0.00471223 -0.66424639]
Brendan O'Connor,[0.884309   0.45991146]
Michael Danby,[0.86708603 0.54953893]
Chris Bowen,[-0.38965902 -0.80912613]
Tony Zappia,[-0.34769731 -0.68305182]
Luke Gosling,[0.74550534 0.53009881]
Nick Champion,[0.83161355 0.63460288]
Bob Katter,[0.78973444 0.71560588]
Tim Wilson,[ 0.67348997 -0.75914501]
Karen Andrews,[-0.36351783 -0.92040985]
Steven Ciobo,[-0.19610872 -0.89189791]
Barnaby Joyce,[-0.26773824 -0.80733762]
