,0,1,2,3,4,5,6,7,8,9
0,person,think,house,divides,equality,australian,sex,plebiscite,discrimination,religious
1,belief,legislation,prime,sweet,want,government,equality,debate,act,freedom
2,act,community,minister,aunt,yes,sex,love,issue,sex,sex
3,religious,relationships,regional,annabel,time,law,couples,parliament,faith,amendments
4,entity,discrimination,lesbian,graduates,community,legislation,children,vote,state,freedoms
5,section,institution,evening,contact,australians,debate,support,think,based,vote
6,relevant,sex,rural,contractual,vote,parliament,community,equality,view,australians
7,amendment,relationship,gallery,curricula,like,labor,time,sex,institution,percent
8,law,married,seen,spots,love,issue,government,minister,organisations,australian
9,subsection,facto,concern,cited,survey,couples,gay,say,amendment,religion
10,amendments,labor,demonise,classic,long,australia,australian,prime,commonwealth,voted
11,page,couples,eddie,paramount,australia,plebiscite,issue,government,religious,faith
12,insert,gay,behalf,correctly,lgbtiq,act,change,said,body,protections
13,item,australian,century,ignorance,years,nation,australia,australians,section,yes
14,schedule,members,21st,providers,said,make,parliament,view,1984,say
coeffMax,1.0,0.999,,,0.999,0.999,0.999,0.999,0.998,0.999
coeffDiff,1.0,0.999,,,0.999,0.999,0.999,0.999,0.998,0.999
speechId,49017.0,13322.0,,,48877.0,45194.0,32099.0,45477.0,49061.0,48912.0
topicCount,9,12,0,0,50,16,72,68,4,81
percentage,2.9,3.8,0.0,0.0,16.0,5.1,23.1,21.8,1.3,26.0
