,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,think,equality,equality,amendments,faith,equality,religious,charities,don,yes,equality,thousands,plebiscite,sex,plebiscite,issue,definition,religious,person,children
1,like,support,labor,business,time,time,celebrants,officer,today,vote,love,nation,parliament,couples,debate,australian,legislation,sex,belief,community
2,say,love,want,today,years,want,amendments,chaplain,protect,equality,community,state,equality,government,government,election,house,australians,entity,minister
3,act,parliament,member,greens,god,community,religion,amendment,single,bendigo,lgbtiq,friends,minister,children,vote,change,public,freedom,act,prime
4,support,australians,survey,religious,said,issue,page,authorised,little,support,want,court,australians,act,labor,debate,way,vote,relevant,family
5,member,yes,party,compromise,regional,parliament,amendment,amendments,rejected,community,today,speaker,prime,law,sex,vote,said,australian,law,debate
6,australia,australia,just,let,based,love,item,religious,proposal,electorate,australians,life,debate,legislation,opposition,plebiscite,man,percent,section,time
7,way,country,like,bodies,today,vote,schedule,insert,freedom,said,proud,supreme,government,discrimination,support,sex,matter,say,public,australian
8,parents,community,parliament,senate,right,right,line,charitable,religious,member,time,case,vote,relationships,member,position,party,change,conduct,house
9,children,equal,support,good,ago,said,celebrant,charity,dressed,place,long,armed,party,community,law,labor,debate,said,beliefs,love
10,want,place,know,success,woman,australians,solemnise,status,priest,amendment,young,children,community,institution,issue,view,society,yes,state,support
11,make,member,relation,australia,australia,australia,omit,act,bit,result,vote,raised,labor,australian,community,say,members,debate,subsection,parliament
12,just,time,legislation,committee,way,like,beliefs,member,time,say,years,act,sex,think,way,support,gay,views,rights,equality
13,right,vote,australian,commercial,debate,support,substitute,defence,seen,businesses,yes,canberra,australian,australia,question,definition,justice,freedoms,holds,parents
14,bishop,like,right,fight,organisations,plebiscite,traditional,purpose,girl,like,just,love,issue,support,australian,nation,grandfather,support,religious,gay
coeffMax,0.997,0.999,0.998,0.995,0.999,0.999,0.999,0.969,0.992,0.999,0.999,0.988,0.999,0.999,0.999,0.998,0.996,0.999,1.0,0.996
coeffDiff,0.997,0.999,0.998,0.995,0.998,0.999,0.999,0.94,0.992,0.999,0.999,0.987,0.999,0.999,0.999,0.998,0.996,0.999,1.0,0.996
speechId,45632,48934,34411,48999,13321,48859,49001,49047,49070,48877,48901,49035,45232,13239,45233,45386,13325,48849,49017,36600
topicCount,8,13,8,1,4,10,3,5,1,3,10,2,19,58,10,13,3,132,2,7
percentage,2.6,4.2,2.6,0.3,1.3,3.2,1.0,1.6,0.3,1.0,3.2,0.6,6.1,18.6,3.2,4.2,1.0,42.3,0.6,2.2
