,0,1,2,3,4,5,6,7
0,religious,plebiscite,sex,view,equality,sex,vote,belief
1,freedom,equality,government,child,vote,member,religious,person
2,amendment,parliament,couple,woman,want,issue,percent,act
3,view,vote,law,sex,love,discrimination,freedom,entity
4,vote,debate,family,man,community,view,view,section
5,sex,member,child,institution,time,change,amendment,relevant
6,right,make,australian,relationship,like,vote,support,subsection
7,protection,australians,relationship,society,right,election,sex,hold
8,issue,party,change,change,year,parliament,change,insert
9,australian,government,issue,think,make,couple,religion,law
10,member,labor,gay,couple,support,labor,yes,page
11,support,minister,support,legislation,yes,definition,celebrant,item
12,faith,prime,community,right,know,act,australians,religious
13,debate,issue,act,definition,come,make,survey,include
14,change,support,make,act,australians,party,right,purpose
15,law,right,australia,law,survey,position,australian,schedule
16,religion,australian,right,make,member,support,electorate,omit
17,australians,change,year,member,just,amendment,postal,conduct
18,belief,think,member,believe,family,right,protection,line
19,church,want,country,support,friend,think,marry,officer
