,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,lgbtiq,freedom,discrimination,plebiscite,equality,child,charity,want,vote,amendment,officer,celebrant,family,entity,church,view,labor,change,adoption
1,equality,belief,relationship,debate,love,society,charitable,school,percent,member,chaplain,list,kate,belief,faith,issue,election,indigenous,government
2,community,religion,sex,australians,parliament,man,commissioner,young,survey,senate,force,religious,choice,item,religious,think,party,woman,law
3,survey,religious,couple,prime,party,institution,charities,talk,yes,house,appoint,category,mother,page,protection,sex,member,law,provision
4,friend,conscience,gay,australian,prime,woman,status,regional,electorate,discrimination,authorised,perform,liz,subsection,religion,member,position,debate,couple
5,love,protect,facto,issue,law,parent,amendment,like,postal,debate,defence,90,deep,schedule,god,change,promise,year,act
6,yes,right,lesbian,government,equal,family,religious,gay,australian,think,cdf,civil,support,omit,state,matter,government,think,sex
7,thank,amendment,superannuation,parliament,minister,relationship,act,think,respect,support,senate,ceremony,sex,relevant,freedom,position,vote,society,country
8,want,protection,remove,lgbti,vote,union,tax,know,result,second,appointment,solemnise,child,person,law,believe,change,marry,overseas
9,long,international,heterosexual,minister,right,social,confirm,come,australians,seek,serve,opt,uhlmann,section,service,debate,opposition,ago,australia
10,australians,traditional,government,campaign,let,biological,assessment,really,change,want,overseas,religion,rose,insert,christian,conscience,coalition,right,attorney
11,family,law,discriminate,million,member,mother,purpose,country,religious,committee,armed,register,equality,substitute,catholic,electorate,definition,australian,territory
12,campaign,article,community,referendum,time,legislation,organisation,vote,support,celebrant,insert,freedom,life,act,protect,parliament,issue,reflect,intercountry
13,year,conscientious,homosexual,make,country,father,dgr,community,sex,delay,military,website,church,line,run,community,debate,institution,matter
14,fight,human,partner,community,work,love,concern,ask,majority,legislation,amendment,final,love,paragraph,organisation,personal,policy,case,state
15,time,view,member,vote,sponsor,life,affect,australia,process,today,conscientious,amendment,constituent,organisation,business,different,australian,thing,contain
16,proud,18,commitment,democracy,allow,definition,entity,make,view,time,religious,sex,strike,solemnise,teach,act,disdain,civil,enter
17,lgbti,covenant,family,opposition,australia,traditional,funding,tell,freedom,oppose,personnel,minister,nurture,body,school,express,prime,australians,commonwealth
18,feel,sex,right,200,liberal,define,provide,rural,participation,contribution,select,day,father,refusal,bishop,support,leader,1967,adopt
19,like,speech,area,question,achieve,raise,advice,time,question,pass,belief,decide,meet,base,discrimination,current,clear,time,measure
